CNAE;Ano;Quantidade total
Outras atividades de recreação e lazer não especificadas anteriormente;2010;49
Outras atividades de serviços financeiros não especificadas anteriormente;2010;1
Outras atividades de serviços pessoais não especificadas anteriormente;2010;56
Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;2010;281
Outras atividades de telecomunicações não especificadas anteriormente;2010;15
Outras atividades esportivas não especificadas anteriormente;2010;2
Outras atividades profissionais, científicas e técnicas não especificadas anteriormente;2010;40
Outras obras de acabamento da construção;2010;59
Outras obras de engenharia civil não especificadas anteriormente;2010;34
Outras obras de instalações em construções não especificadas anteriormente;2010;25
Outras sociedades de participação, exceto holdings;2010;16
Outros alojamentos não especificados anteriormente;2010;11
Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente;2010;119
Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário;2010;31
Outros transportes aquaviários não especificados anteriormente;2010;1
Outros transportes rodoviários de passageiros não especificados anteriormente;2010;1
Padaria e confeitaria com predominância de revenda;2010;333
Pensões (alojamento);2010;10
Perfuração e construção de poços de água;2010;1
Perfurações e sondagens;2010;2
Peritos e avaliadores de seguros;2010;5
Pesca de peixes em água doce;2010;2
Pesquisa e desenvolvimento experimental em ciências físicas e naturais;2010;4
Pesquisas de mercado e de opinião pública;2010;4
Pintura para sinalização em pistas rodoviárias e aeroportos;2010;8
Planos de auxílio-funeral;2010;2
Planos de saúde;2010;8
Portais, provedores de conteúdo e outros serviços de informação na internet;2010;27
Preparação de canteiro e limpeza de terreno;2010;5
Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente;2010;330
Preparação de massa de concreto e argamassa para construção;2010;3
Preparação de subprodutos do abate;2010;1
Preparação e fiação de fibras de algodão;2010;3
Preparação e fiação de fibras têxteis naturais, exceto algodão;2010;5
Produção de alumínio e suas ligas em formas primárias;2010;4
Produção de ânodos para galvanoplastia;2010;1
Produção de artefatos estampados de metal;2010;70
Produção de carvão vegetal - florestas plantadas;2010;24
Produção de espetáculos circenses, de marionetes e similares;2010;1
Produção de ferroligas;2010;6
Produção de filmes para publicidade;2010;4
Produção de forjados de aço;2010;8
Produção de forjados de metais não-ferrosos e suas ligas;2010;3
Produção de laminados de alumínio;2010;5
Produção de laminados de zinco;2010;2
Produção de laminados longos de aço, exceto tubos;2010;1
Produção de laminados planos de aço ao carbono, revestidos ou não;2010;4
Produção de laminados planos de aços especiais;2010;1
Produção de outros tubos de ferro e aço;2010;5
Produção de ovos;2010;4
Produção de relaminados, trefilados e perfilados de aço, exceto arames;2010;15
Produção de semi-acabados de aço;2010;1
Produção de tubos de aço com costura;2010;8
Produção de tubos de aço sem costura;2010;1
Produção e promoção de eventos esportivos;2010;11
Produção musical;2010;35
Produção teatral;2010;3
Promoção de vendas;2010;124
Provedores de acesso às redes de comunicações;2010;11
Recarga de cartuchos para equipamentos de informática;2010;2
Recondicionamento e recuperação de motores para veículos automotores;2010;17
Recuperação de materiais metálicos, exceto alumínio;2010;20
Recuperação de materiais não especificados anteriormente;2010;33
Recuperação de materiais plásticos;2010;42
Recuperação de sucatas de alumínio;2010;7
Reforma de pneumáticos usados;2010;17
Reparação de artigos do mobiliário;2010;31
Reparação de bicicletas, triciclos e outros veículos não-motorizados;2010;6
Reparação de calçados, bolsas e artigos de viagem;2010;13
Reparação de jóias;2010;3
Reparação de relógios;2010;3
Reparação e manutenção de computadores e de equipamentos periféricos;2010;342
Reparação e manutenção de equipamentos de comunicação;2010;36
Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico;2010;157
Reparação e manutenção de outros objetos e equipamentos pessoais e domésticos não especificados anteriormente;2010;40
Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos;2010;39
Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico;2010;12
Representantes comerciais e agentes do comércio de instrumentos e materiais odonto-médico-hospitalares;2010;15
Representantes comerciais e agentes do comércio de jornais, revistas e outras publicações;2010;1
Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens;2010;67
Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves;2010;43
Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos;2010;7
Representantes comerciais e agentes do comércio de medicamentos, cosméticos e produtos de perfumaria;2010;26
Representantes comerciais e agentes do comércio de mercadorias em geral não especializado;2010;201
Representantes comerciais e agentes do comércio de motocicletas e motonetas, peças e acessórios;2010;4
Representantes comerciais e agentes do comércio de peças e acessórios novos e usados para veículos automotores;2010;29
Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo;2010;80
Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem;2010;72
Representantes comerciais e agentes do comércio de veículos automotores;2010;4
Reprodução de software em qualquer suporte;2010;2
Reprodução de vídeo em qualquer suporte;2010;1
Restauração de obras de arte;2010;1
Restauração e conservação de lugares e prédios históricos;2010;1
Restaurantes e similares;2010;967
Salas de acesso à internet;2010;90
Securitização de créditos;2010;2
Seleção e agenciamento de mão-de-obra;2010;17
Serrarias com desdobramento de madeira;2010;9
Serviço de corte e dobra de metais;2010;2
Serviço de manejo de animais;2010;2
Serviço de poda de árvores para lavouras;2010;1
Serviço de preparação de terreno, cultivo e colheita;2010;2
Serviço de pulverização e controle de pragas agrícolas;2010;1
Serviço de táxi aéreo e locação de aeronaves com tripulação;2010;1
Serviço de táxi;2010;11
Serviço de transporte de passageiros - locação de automóveis com motorista;2010;32
Serviços advocatícios;2010;90
Serviços ambulantes de alimentação;2010;141
Serviços combinados de escritório e apoio administrativo;2010;321
Serviços combinados para apoio a edifícios, exceto condomínios prediais;2010;79
Serviços de acabamentos gráficos, exceto encadernação e plastificação;2010;34
Serviços de adestramento de cães de guarda;2010;9
Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias;2010;2
Serviços de alimentação para eventos e recepções - bufê;2010;82
Serviços de alinhamento e balanceamento de veículos automotores;2010;16
Serviços de arquitetura;2010;42
Serviços de assistência social sem alojamento;2010;1
Serviços de borracharia para veículos automotores;2010;66
Serviços de capotaria;2010;2
Serviços de cartografia, topografia e geodésia;2010;13
Serviços de comunicação multimídia - SCM;2010;5
Serviços de confecção de armações metálicas para a construção;2010;7
Serviços de desenho técnico relacionados à arquitetura e engenharia;2010;27
Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia;2010;45
Serviços de diagnóstico por imagem sem uso de radiação ionizante, exceto ressonância magnética;2010;8
Serviços de diagnóstico por métodos ópticos - endoscopia e outros exames análogos;2010;1
Serviços de diagnóstico por registro gráfico - ECG, EEG e outros exames análogos;2010;3
Serviços de diálise e nefrologia;2010;2
Serviços de encadernação e plastificação;2010;1
Serviços de engenharia;2010;158
Serviços de entrega rápida;2010;151
Serviços de funerárias;2010;11
Serviços de gravação de carimbos, exceto confecção;2010;1
Serviços de instalação, manutenção e reparação de acessórios para veículos automotores;2010;61
Serviços de lanternagem ou funilaria e pintura de veículos automotores;2010;138
Serviços de lavagem, lubrificação e polimento de veículos automotores;2010;165
Serviços de malote não realizados pelo Correio Nacional;2010;69
Serviços de manutenção e reparação elétrica de veículos automotores;2010;52
Serviços de manutenção e reparação mecânica de veículos automotores;2010;451
Serviços de mixagem sonora em produção audiovisual;2010;1
Serviços de montagem de móveis de qualquer material;2010;28
Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras;2010;9
Serviços de organização de feiras, congressos, exposições e festas;2010;204
Serviços de perícia técnica relacionados à segurança do trabalho;2010;6
Serviços de pintura de edifícios em geral;2010;136
Serviços de pré-impressão;2010;44
Serviços de preparação do terreno não especificados anteriormente;2010;1
Serviços de prótese dentária;2010;9
Serviços de reboque de veículos;2010;40
Serviços de remoção de pacientes, exceto os serviços móveis de atendimento a urgências;2010;2
Serviços de reservas e outros serviços de turismo não especificados anteriormente;2010;16
Serviços de ressonância magnética;2010;1
Serviços de sepultamento;2010;1
Serviços de tatuagem e colocação de piercing;2010;6
Serviços de telecomunicações por fio não especificados anteriormente;2010;1
Serviços de telecomunicações sem fio não especificados anteriormente;2010;1
Serviços de telefonia fixa comutada - STFC;2010;1
Serviços de tomografia;2010;1
Serviços de tradução, interpretação e similares;2010;15
Serviços de tratamento e revestimento em metais;2010;23
Serviços de usinagem, tornearia e solda;2010;141
Serviços de vacinação e imunização humana;2010;1
Serviços domésticos;2010;2
Serviços especializados para construção não especificados anteriormente;2010;32
Serviços móveis de atendimento a urgências, exceto por UTI móvel;2010;3
Sociedades de fomento mercantil - factoring;2010;37
Suporte técnico, manutenção e outros serviços em tecnologia da informação;2010;164
Tecelagem de fios de algodão;2010;2
Tecelagem de fios de fibras artificiais e sintéticas;2010;6
Tecelagem de fios de fibras têxteis naturais, exceto algodão;2010;2
Telefonia móvel celular;2010;1
Terminais rodoviários e ferroviários;2010;2
Testes e análises técnicas;2010;15
Torrefação e moagem de café;2010;3
Transporte aéreo de carga;2010;1
Transporte escolar;2010;68
Transporte ferroviário de carga;2010;1
Transporte por navegação interior de carga, municipal, exceto travessia;2010;1
Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana;2010;62
Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana;2010;1
Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal;2010;27
Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional;2010;42
Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal;2010;41
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;2010;1174
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal;2010;403
Transporte rodoviário de mudanças;2010;16
Transporte rodoviário de produtos perigosos;2010;65
Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet;2010;114
Tratamento e disposição de resíduos não-perigosos;2010;2
Tratamento e disposição de resíduos perigosos;2010;1
Tratamentos térmicos, acústicos ou de vibração;2010;2
Treinamento em desenvolvimento profissional e gerencial;2010;103
Treinamento em informática;2010;57
Apart-hotéis;2010;2
Apicultura;2010;4
Campings;2010;3
Chaveiros;2010;87
Fotocópias;2010;58
Guarda-móveis;2010;1
Hotéis;2010;114
Lavanderias;2010;51
Motéis;2010;26
Peixaria;2010;21
Ranicultura;2010;1
Tabacaria;2010;19
Tinturarias;2010;1
Toalheiros;2010;2
Abate de aves;2011;9
Acabamento de calçados de couro sob contrato;2011;10
Administração de cartões de crédito;2011;3
Administração de consórcios para aquisição de bens e direitos;2011;4
Administração de obras;2011;10
Agenciamento de cargas, exceto para o transporte marítimo;2011;18
Agenciamento de espaços para publicidade, exceto em veículos de comunicação;2011;15
Agenciamento de profissionais para atividades esportivas, culturais e artísticas;2011;7
Agências de notícias;2011;5
Agências de publicidade;2011;50
Agências de viagens;2011;131
Agências matrimoniais;2011;5
Agente de propriedade industrial;2011;2
Agentes de investimentos em aplicações financeiras;2011;5
Albergues, exceto assistenciais;2011;1
Aluguel de andaimes;2011;19
Aluguel de aparelhos de jogos eletrônicos;2011;2
Aluguel de equipamentos científicos, médicos e hospitalares, sem operador;2011;1
Aluguel de equipamentos recreativos e esportivos;2011;26
Aluguel de fitas de vídeo, DVDs e similares;2011;40
Aluguel de imóveis próprios;2011;157
Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;2011;68
Aluguel de máquinas e equipamentos para escritório;2011;17
Aluguel de móveis, utensílios e aparelhos de uso doméstico e pessoal;2011;32
Aluguel de objetos do vestuário, jóias e acessórios;2011;24
Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador;2011;58
Aluguel de outros objetos pessoais e domésticos não especificados anteriormente;2011;4
Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes;2011;20
Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário;2011;6
Aparelhamento de pedras para construção, exceto associado à extração;2011;1
Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras;2011;28
Aplicação de revestimentos e de resinas em interiores e exteriores;2011;48
Armazéns gerais - emissão de warrant;2011;21
Artes cênicas, espetáculos e atividades complementares não especificados anteriormente;2011;24
Atividade médica ambulatorial com recursos para realização de exames complementares;2011;24
Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos;2011;24
Atividade médica ambulatorial restrita a consultas;2011;217
Atividade odontológica;2011;143
Atividades auxiliares da justiça;2011;1
Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;2011;10
Atividades auxiliares dos transportes aéreos, exceto operação dos aeroportos e campos de aterrissagem;2011;25
Atividades de agenciamento marítimo;2011;1
Atividades de apoio à agricultura não especificadas anteriormente;2011;2
Atividades de apoio à educação, exceto caixas escolares;2011;2
Atividades de apoio à gestão de saúde;2011;3
Atividades de apoio à pecuária não especificadas anteriormente;2011;4
Atividades de apoio à produção florestal;2011;1
Atividades de artistas plásticos, jornalistas independentes e escritores;2011;4
Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química não especificadas anteriormente;2011;19
Atividades de atenção ambulatorial não especificadas anteriormente;2011;6
Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências;2011;11
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;2011;39
Atividades de centros de assistência psicossocial;2011;3
Atividades de cobrança e informações cadastrais;2011;158
Atividades de condicionamento físico;2011;148
Atividades de consultoria e auditoria contábil e tributária;2011;3
Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;2011;259
Atividades de contabilidade;2011;407
Atividades de design não especificadas anteriormente;2011;3
Atividades de despachantes aduaneiros;2011;12
Atividades de enfermagem;2011;2
Atividades de Estética e outros serviços de cuidados com a beleza;2011;388
Atividades de estudos geológicos;2011;1
Atividades de exibição cinematográfica;2011;5
Atividades de fisioterapia;2011;57
Atividades de fonoaudiologia;2011;15
Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio;2011;14
Atividades de gravação de som e de edição de música;2011;9
Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários;2011;56
Atividades de limpeza não especificadas anteriormente;2011;17
Atividades de monitoramento de sistemas de segurança eletrônico;2011;42
Atividades de podologia;2011;2
Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;2011;15
Atividades de práticas integrativas e complementares em saúde humana;2011;5
Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;2011;29
Atividades de produção de fotografias aéreas e submarinas;2011;5
Atividades de produção de fotografias, exceto aérea e submarina;2011;101
Atividades de profissionais da área de saúde não especificadas anteriormente;2011;35
Atividades de profissionais da nutrição;2011;5
Atividades de psicologia e psicanálise;2011;22
Atividades de rádio;2011;7
Atividades de sauna e banhos;2011;2
Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente;2011;21
Atividades de sonorização e de iluminação;2011;19
Atividades de teleatendimento;2011;26
Atividades de televisão aberta;2011;2
Atividades de terapia ocupacional;2011;2
Atividades de vigilância e segurança privada;2011;37
Atividades de franqueadas e permissionárias do Correio Nacional;2011;12
Atividades funerárias e serviços relacionados não especificados anteriormente;2011;8
Atividades paisagísticas;2011;128
Atividades relacionadas a esgoto, exceto a gestão de redes;2011;5
Atividades relacionadas à televisão por assinatura, exceto programadoras;2011;1
Atividades técnicas relacionadas à engenharia e arquitetura não especificadas anteriormente;2011;9
Atividades veterinárias;2011;37
Auditoria e consultoria atuarial;2011;1
Bancos múltiplos, sem carteira comercial;2011;1
Bares e outros estabelecimentos especializados em servir bebidas;2011;844
Beneficiamento de arroz;2011;1
Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente;2011;4
Britamento de pedras, exceto associado à extração;2011;1
Cabeleireiros, manicure e pedicure;2011;1755
Cantinas - serviços de alimentação privativos;2011;58
Captação, tratamento e distribuição de água;2011;1
Carga e descarga;2011;55
Casas de bingo;2011;1
Casas de festas e eventos;2011;50
Casas lotéricas;2011;83
Clínicas e residências geriátricas;2011;1
Clubes sociais, esportivos e similares;2011;2
Coleta de resíduos não-perigosos;2011;42
Coleta de resíduos perigosos;2011;1
Comércio a varejo de automóveis, camionetas e utilitários novos;2011;47
Comércio a varejo de automóveis, camionetas e utilitários usados;2011;215
Comércio a varejo de motocicletas e motonetas novas;2011;22
Comércio a varejo de motocicletas e motonetas usadas;2011;6
Comércio a varejo de peças e acessórios novos para veículos automotores;2011;1183
Comércio a varejo de peças e acessórios para motocicletas e motonetas;2011;106
Comércio a varejo de peças e acessórios usados para veículos automotores;2011;76
Comércio a varejo de pneumáticos e câmaras-de-ar;2011;100
Comércio atacadista de água mineral;2011;5
Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador retalhista (TRR);2011;6
Comércio atacadista de algodão;2011;1
Comércio atacadista de alimentos para animais;2011;14
Comércio atacadista de animais vivos;2011;4
Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico;2011;14
Comércio atacadista de artigos de armarinho;2011;7
Comércio atacadista de artigos de cama, mesa e banho;2011;6
Comércio atacadista de artigos de escritório e de papelaria;2011;20
Comércio atacadista de artigos de tapeçaria;2011;12
Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança;2011;27
Comércio atacadista de aves abatidas e derivados;2011;1
Comércio atacadista de aves vivas e ovos;2011;2
Comércio atacadista de bebidas não especificadas anteriormente;2011;10
Comércio atacadista de bicicletas, triciclos e outros veículos recreativos;2011;3
Comércio atacadista de bolsas, malas e artigos de viagem;2011;8
Comércio atacadista de bombas e compressores;2011;4
Comércio atacadista de café torrado, moído e solúvel;2011;1
Comércio atacadista de calçados;2011;7
Comércio atacadista de carnes bovinas e suínas e derivados;2011;11
Comércio atacadista de cereais e leguminosas beneficiados;2011;2
Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada;2011;1
Comércio atacadista de cerveja, chope e refrigerante;2011;4
Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes;2011;8
Comércio atacadista de cigarros, cigarrilhas e charutos;2011;1
Comércio atacadista de cimento;2011;3
Comércio atacadista de combustíveis de origem mineral em bruto;2011;1
Comércio atacadista de combustíveis de origem vegetal, exceto álcool carburante;2011;9
Comércio atacadista de combustíveis realizado por transportador retalhista (TRR);2011;1
Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação;2011;6
Comércio atacadista de cosméticos e produtos de perfumaria;2011;36
Comércio atacadista de couros, lãs, peles e outros subprodutos não-comestíveis de origem animal;2011;1
Comércio atacadista de embalagens;2011;87
Comércio atacadista de energia elétrica;2011;2
Comércio atacadista de equipamentos de informática;2011;18
Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico;2011;12
Comércio atacadista de ferragens e ferramentas;2011;48
Comércio atacadista de filmes, CDs, DVDs, fitas e discos;2011;4
Comércio atacadista de fios e fibras beneficiados;2011;4
Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos;2011;35
Comércio atacadista de gás liqüefeito de petróleo (GLP);2011;2
Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios;2011;18
Comércio atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas;2011;8
Comércio atacadista de leite e laticínios;2011;5
Comércio atacadista de livros, jornais e outras publicações;2011;5
Comércio atacadista de lubrificantes;2011;12
Comércio atacadista de lustres, luminárias e abajures;2011;4
Comércio atacadista de madeira e produtos derivados;2011;14
Comércio atacadista de máquinas e equipamentos para uso comercial;2011;19
Comércio atacadista de máquinas e equipamentos para uso industrial;2011;138
Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário;2011;7
Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar;2011;13
Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção;2011;8
Comércio atacadista de mármores e granitos;2011;10
Comércio atacadista de massas alimentícias;2011;1
Comércio atacadista de materiais de construção em geral;2011;33
Comércio atacadista de material elétrico;2011;24
Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente;2011;2
Comércio atacadista de medicamentos e drogas de uso humano;2011;9
Comércio atacadista de medicamentos e drogas de uso veterinário;2011;2
Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;2011;9
Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;2011;41
Comércio atacadista de móveis e artigos de colchoaria;2011;12
Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente;2011;52
Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente;2011;61
Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente;2011;27
Comércio atacadista de pães, bolos, biscoitos e similares;2011;2
Comércio atacadista de papel e papelão em bruto;2011;9
Comércio atacadista de pescados e frutos do mar;2011;2
Comércio atacadista de produtos alimentícios em geral;2011;66
Comércio atacadista de produtos alimentícios em geral, com atividade de fracionamento e acondicionamento associada;2011;3
Comércio atacadista de produtos da extração mineral, exceto combustíveis;2011;5
Comércio atacadista de produtos de higiene pessoal;2011;5
Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar;2011;20
Comércio atacadista de produtos odontológicos;2011;7
Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção;2011;74
Comércio atacadista de próteses e artigos de ortopedia;2011;5
Comércio atacadista de resíduos de papel e papelão;2011;39
Comércio atacadista de resíduos e sucatas metálicos;2011;80
Comércio atacadista de resíduos e sucatas não-metálicos, exceto de papel e papelão;2011;60
Comércio atacadista de resinas e elastômeros;2011;11
Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho;2011;11
Comércio atacadista de sementes, flores, plantas e gramas;2011;17
Comércio atacadista de solventes;2011;2
Comércio atacadista de sorvetes;2011;3
Comércio atacadista de suprimentos para informática;2011;5
Comércio atacadista de tecidos;2011;11
Comércio atacadista de tintas, vernizes e similares;2011;11
Comércio atacadista de vidros, espelhos e vitrais;2011;8
Comércio atacadista especializado de materiais de construção não especificados anteriormente;2011;18
Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente;2011;26
Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente;2011;86
Comércio por atacado de automóveis, camionetas e utilitários novos e usados;2011;1
Comércio por atacado de caminhões novos e usados;2011;5
Comércio por atacado de peças e acessórios novos para veículos automotores;2011;103
Comércio por atacado de peças e acessórios para motocicletas e motonetas;2011;12
Comércio por atacado de pneumáticos e câmaras-de-ar;2011;9
Comércio sob consignação de motocicletas e motonetas;2011;1
Comércio sob consignação de veículos automotores;2011;7
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;2011;377
Comércio varejista de antigüidades;2011;7
Comércio varejista de armas e munições;2011;1
Comercio varejista de artigos de armarinho;2011;364
Comércio varejista de artigos de caça, pesca e camping;2011;28
Comercio varejista de artigos de cama, mesa e banho;2011;166
Comércio varejista de artigos de colchoaria;2011;59
Comércio varejista de artigos de iluminação;2011;26
Comércio varejista de artigos de joalheria;2011;52
Comércio varejista de artigos de óptica;2011;187
Comércio varejista de artigos de papelaria;2011;371
Comércio varejista de artigos de relojoaria;2011;28
Comércio varejista de artigos de tapeçaria, cortinas e persianas;2011;86
Comércio varejista de artigos de viagem;2011;37
Comércio varejista de artigos do vestuário e acessórios;2011;2893
Comércio varejista de artigos esportivos;2011;89
Comércio varejista de artigos fotográficos e para filmagem;2011;69
Comércio varejista de artigos médicos e ortopédicos;2011;59
Comércio varejista de bebidas;2011;424
Comércio varejista de bicicletas e triciclos;2011;80
Comércio varejista de brinquedos e artigos recreativos;2011;106
Comércio varejista de cal, areia, pedra britada, tijolos e telhas;2011;78
Comércio varejista de calçados;2011;265
Comércio varejista de carnes - açougues;2011;250
Comércio varejista de combustíveis para veículos automotores;2011;213
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;2011;578
Comércio varejista de discos, CDs, DVDs e fitas;2011;45
Comércio varejista de doces, balas, bombons e semelhantes;2011;291
Comércio varejista de embarcações e outros veículos recreativos;2011;10
Comércio varejista de equipamentos para escritório;2011;28
Comércio varejista de ferragens e ferramentas;2011;471
Comércio varejista de fogos de artifício e artigos pirotécnicos;2011;5
Comércio varejista de gás liqüefeito de petróleo (GLP);2011;190
Comércio varejista de hortifrutigranjeiros;2011;220
Comércio varejista de jornais e revistas;2011;65
Comércio varejista de laticínios e frios;2011;129
Comércio varejista de livros;2011;83
Comércio varejista de lubrificantes;2011;33
Comércio varejista de madeira e artefatos;2011;151
Comércio varejista de materiais de construção em geral;2011;583
Comércio varejista de materiais de construção não especificados anteriormente;2011;589
Comércio varejista de materiais hidráulicos;2011;45
Comércio varejista de material elétrico;2011;220
Comércio varejista de medicamentos veterinários;2011;20
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados;2011;7
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;2011;1074
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;2011;143
Comércio varejista de mercadorias em lojas de conveniência;2011;11
Comércio varejista de móveis;2011;371
Comércio varejista de objetos de arte;2011;10
Comércio varejista de outros artigos de uso doméstico não especificados anteriormente;2011;277
Comércio varejista de outros artigos usados;2011;83
Comércio varejista de outros produtos não especificados anteriormente;2011;984
Comércio varejista de pedras para revestimento;2011;12
Comércio varejista de plantas e flores naturais;2011;166
Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;2011;415
Comércio varejista de produtos farmacêuticos homeopáticos;2011;6
Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas;2011;36
Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;2011;349
Comércio varejista de produtos saneantes domissanitários;2011;147
Comércio varejista de suvenires, bijuterias e artesanatos;2011;300
Comércio varejista de tecidos;2011;52
Comércio varejista de tintas e materiais para pintura;2011;155
Comércio varejista de vidros;2011;156
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;2011;211
Comércio varejista especializado de equipamentos de telefonia e comunicação;2011;192
Comércio varejista especializado de equipamentos e suprimentos de informática;2011;620
Comércio varejista especializado de instrumentos musicais e acessórios;2011;38
Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação;2011;132
Comissaria de despachos;2011;6
Compra e venda de imóveis próprios;2011;84
Concessionárias de rodovias, pontes, túneis e serviços relacionados;2011;1
Condomínios residenciais para idosos;2011;3
Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida;2011;721
Confecção de roupas íntimas;2011;76
Confecção de roupas profissionais, exceto sob medida;2011;30
Confecção, sob medida, de peças do vestuário, exceto roupas íntimas;2011;512
Confecção, sob medida, de roupas profissionais;2011;8
Conservação de florestas nativas;2011;2
Construção de edifícios;2011;367
Construção de embarcações para esporte e lazer;2011;3
Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte;2011;1
Construção de estações e redes de distribuição de energia elétrica;2011;2
Construção de estações e redes de telecomunicações;2011;6
Construção de instalações esportivas e recreativas;2011;2
Construção de obras-de-arte especiais;2011;1
Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação;2011;4
Construção de rodovias e ferrovias;2011;7
Consultoria em publicidade;2011;8
Consultoria em tecnologia da informação;2011;97
Cooperativas de crédito mútuo;2011;8
Correspondentes de instituições financeiras;2011;8
Corretagem na compra e venda e avaliação de imóveis;2011;67
Corretagem no aluguel de imóveis;2011;72
Corretoras de contratos de mercadorias;2011;1
